Date,Adj Close,Open,High,Low,Change %
3-Jun-15,124.25,124.11,124.69,123.77,0.11%
4-Jun-15,124.38,124.24,124.69,123.76,0.10%
5-Jun-15,125.62,124.35,125.86,124.32,1.00%
8-Jun-15,124.48,125.58,125.69,124.28,-0.91%
9-Jun-15,124.34,124.46,124.75,123.84,-0.11%
10-Jun-15,122.67,124.32,124.64,122.43,-1.34%
11-Jun-15,123.42,122.67,124.15,122.6,0.61%
12-Jun-15,123.39,123.39,123.83,123.11,-0.02%
15-Jun-15,123.42,123.34,123.67,123.1,0.02%
16-Jun-15,123.36,123.41,123.79,123.27,-0.05%
17-Jun-15,123.44,123.34,124.45,123.19,0.06%
18-Jun-15,122.97,123.42,123.61,122.46,-0.38%
19-Jun-15,122.67,122.95,123.25,122.53,-0.24%
22-Jun-15,123.38,122.81,123.44,122.54,0.58%
23-Jun-15,123.95,123.35,124.19,123.32,0.46%
24-Jun-15,123.85,123.93,124.38,123.69,-0.08%
25-Jun-15,123.62,123.84,123.97,123.3,-0.19%
26-Jun-15,123.86,123.6,123.98,123.2,0.19%
29-Jun-15,122.54,122.7,123.2,122.1,-1.07%
30-Jun-15,122.5,122.53,122.73,121.92,-0.03%
1-Jul-15,123.17,122.46,123.25,122.33,0.55%
2-Jul-15,123.06,123.16,123.75,122.94,-0.09%
3-Jul-15,122.81,123.03,123.2,122.57,-0.20%
6-Jul-15,122.58,122.05,122.94,121.72,-0.19%
7-Jul-15,122.55,122.56,122.89,121.98,-0.02%
8-Jul-15,120.7,122.52,122.58,120.38,-1.51%
9-Jul-15,121.34,120.71,121.58,120.44,0.53%
10-Jul-15,122.75,121.33,122.89,121.25,1.16%
13-Jul-15,123.44,122,123.55,122,0.56%
14-Jul-15,123.38,123.42,123.75,122.91,-0.05%
15-Jul-15,123.78,123.36,123.99,123.23,0.32%
16-Jul-15,124.16,123.76,124.19,123.71,0.31%
17-Jul-15,124.08,124.15,124.23,123.89,-0.06%
20-Jul-15,124.27,124.06,124.39,123.96,0.15%
21-Jul-15,123.89,124.26,124.5,123.73,-0.31%
22-Jul-15,123.97,123.85,124.17,123.54,0.06%
23-Jul-15,123.92,123.94,124.2,123.65,-0.04%
24-Jul-15,123.82,123.9,124.12,123.57,-0.08%
27-Jul-15,123.25,123.71,123.86,122.98,-0.46%
28-Jul-15,123.56,123.25,123.81,123.04,0.25%
29-Jul-15,123.94,123.56,124.03,123.3,0.31%
30-Jul-15,124.14,123.93,124.58,123.85,0.16%
31-Jul-15,123.94,124.15,124.39,123.5,-0.16%
3-Aug-15,124.03,124,124.3,123.83,0.07%
4-Aug-15,124.39,124,124.41,123.77,0.29%
5-Aug-15,124.9,124.38,125.03,123.99,0.41%
6-Aug-15,124.74,124.85,124.97,124.52,-0.13%
7-Aug-15,124.22,124.74,125.08,124.08,-0.42%
10-Aug-15,124.63,124.13,124.8,124.12,0.33%
11-Aug-15,125.13,124.61,125.23,124.49,0.40%
12-Aug-15,124.21,125.1,125.29,123.77,-0.74%
13-Aug-15,124.42,124.18,124.64,124.06,0.17%
14-Aug-15,124.31,124.4,124.56,124.02,-0.09%
17-Aug-15,124.39,124.39,124.58,124.19,0.06%
18-Aug-15,124.41,124.37,124.53,124.16,0.02%
19-Aug-15,123.81,124.39,124.5,123.68,-0.48%
20-Aug-15,123.41,123.78,124.17,123.31,-0.32%
21-Aug-15,122.03,123.4,123.5,121.8,-1.12%
24-Aug-15,118.42,121.68,122.04,116.46,-2.96%
25-Aug-15,118.88,118.39,120.41,118.23,0.39%
26-Aug-15,119.92,118.84,120.03,118.43,0.87%
27-Aug-15,121.03,119.9,121.39,119.77,0.93%
28-Aug-15,121.72,121,121.73,120.63,0.57%
31-Aug-15,121.22,121.65,121.75,120.86,-0.41%
1-Sep-15,119.38,121.2,121.28,119.26,-1.52%
2-Sep-15,120.33,119.37,120.47,119.2,0.80%
3-Sep-15,120.08,120.32,120.7,119.62,-0.21%
4-Sep-15,119,120.05,120.19,118.75,-0.90%
7-Sep-15,119.28,118.65,119.58,118.65,0.24%
8-Sep-15,119.81,119.27,120.23,118.83,0.44%
9-Sep-15,120.51,119.81,121.22,119.78,0.58%
10-Sep-15,120.61,120.51,121.34,119.95,0.08%
11-Sep-15,120.58,120.6,120.99,120.34,-0.02%
14-Sep-15,120.23,120.58,120.84,119.83,-0.29%
15-Sep-15,120.44,120.23,120.67,119.38,0.17%
16-Sep-15,120.56,120.4,120.73,120.08,0.10%
17-Sep-15,120,120.54,121.02,119.77,-0.46%
18-Sep-15,120,119.98,120.3,119.03,0.00%
21-Sep-15,120.55,119.79,120.67,119.71,0.46%
22-Sep-15,120.15,120.56,120.64,119.68,-0.33%
23-Sep-15,120.3,120.12,120.56,119.61,0.12%
24-Sep-15,120.08,120.25,120.41,119.21,-0.18%
25-Sep-15,120.58,120.06,121.26,119.99,0.42%
28-Sep-15,119.92,120.51,120.59,119.67,-0.55%
29-Sep-15,119.73,119.91,120.17,119.22,-0.16%
30-Sep-15,119.86,119.72,120.38,119.54,0.11%
1-Oct-15,119.94,119.85,120.3,119.48,0.07%
2-Oct-15,119.91,119.92,120.42,118.67,-0.03%
5-Oct-15,120.46,119.97,120.56,119.85,0.46%
6-Oct-15,120.25,120.46,120.58,120.08,-0.17%
7-Oct-15,120.02,120.2,120.36,119.72,-0.19%
8-Oct-15,119.94,120,120.12,119.6,-0.07%
9-Oct-15,120.28,119.93,120.38,119.82,0.28%
12-Oct-15,120.03,120.24,120.28,119.86,-0.21%
13-Oct-15,119.75,120.04,120.08,119.53,-0.23%
14-Oct-15,118.83,119.73,119.81,118.62,-0.77%
15-Oct-15,118.89,118.81,119.18,118.04,0.05%
16-Oct-15,119.44,118.88,119.69,118.8,0.46%
19-Oct-15,119.5,119.47,119.58,119.12,0.05%
20-Oct-15,119.84,119.47,119.98,119.38,0.28%
21-Oct-15,119.95,119.83,120.11,119.73,0.09%
22-Oct-15,120.69,119.9,120.79,119.59,0.62%
23-Oct-15,121.47,120.69,121.5,120.21,0.65%
26-Oct-15,121.09,121.41,121.53,120.59,-0.31%
27-Oct-15,120.46,121.1,121.11,120.14,-0.52%
28-Oct-15,121.09,120.44,121.28,120.23,0.52%
29-Oct-15,121.13,121.08,121.19,120.56,0.03%
30-Oct-15,120.62,121.12,121.47,120.26,-0.42%
2-Nov-15,120.75,120.63,120.81,120.24,0.11%
3-Nov-15,121.06,120.73,121.23,120.57,0.26%
4-Nov-15,121.56,121.06,121.73,120.98,0.41%
